"","Codigo","Companhia","Ano","Remuneração.Média","RMRankit","RMM"
"1171",206,"INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR","2013",2668105.8,144,0.31
"402",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2012",2667437.40394828,143,0.31
"2193",397,"UNIDAS S/A","2016",2654642,142,0.31
"1532",286,"VALID SOLUÇÕES E SERVIÇOS DE SEGURANÇA EM MEIOS DE PAGAMENTO E IDENTIFICAÇÃO S.A.","2014",2653696.56428571,141,0.3
"1438",267,"ARTERIS S.A.","2016",2651991.67244969,140,0.3
"3030",584,"CIA FERRO LIGAS BAHIA FERBASA","2016",2647619.04761905,139,0.3
"2500",454,"AUTOMETAL S/A","2012",2647450.33333333,138,0.3
"1126",200,"CPFL ENERGIA SA","2014",2645676.19047619,137,0.29
"2362",429,"JSL S.A.","2014",2640131.25297228,136,0.29
"2125",386,"ALIANSCE SHOPPING CENTERS S/A","2016",2639720.98833333,135,0.29
"2328",425,"MULTIPLUS SA","2016",2634388.85714286,134,0.29
"1514",283,"TOTVS S.A","2016",2630347.10780142,133,0.29
"399",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2015",2626342.27272727,132,0.28
"490",78,"CIA HERING","2013",2625732.99757612,131,0.28
"990",172,"MRS LOGÍSTICA S/A","2016",2624398.44642857,130,0.28
"991",172,"MRS LOGÍSTICA S/A","2015",2623934.325,129,0.28
"1440",267,"ARTERIS S.A.","2014",2616863.63636364,128,0.27
"2331",425,"MULTIPLUS SA","2013",2615714.28571429,127,0.27
"3545",665,"MONTEIRO ARANHA SA","2015",2613500,126,0.27
"2429",440,"PETRO RIO S.A.","2015",2610666.66666667,125,0.27
"487",78,"CIA HERING","2016",2604878.89067067,124,0.27
"1610",300,"CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.","2012",2603066.5,123,0.26
"3338",632,"FORJAS TAURUS SA","2010",2603063.93571429,122,0.26
"2509",456,"IGUA SANEAMENTO S.A.","2017",2600000,121,0.26
"2375",432,"MARISA LOJAS SA","2013",2584659.65083333,120,0.26
"2029",368,"CYRELA COMMERCIAL PROPERTIES SA EMP  PART","2013",2583354.85714286,119,0.26
"527",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2014",2580603.34857143,118,0.25
"488",78,"CIA HERING","2015",2580578.67132329,117,0.25
"2756",498,"LINX S.A.","2013",2579731.75,116,0.25
"308",48,"PBG S/A","2017",2579662.33333333,115,0.25
"687",116,"ROSSI RESIDENCIAL SA","2014",2578951.333,114,0.24
"2564",464,"BRASIL PHARMA SA","2013",2575589.2,113,0.24
"845",144,"ENGIE BRASIL ENERGIA S.A.","2016",2574413.79134921,112,0.24
"313",48,"PBG S/A","2012",2572000,111,0.24
"2484",452,"SONAE SIERRA BRASIL S/A","2016",2569786.66666667,110,0.24
"326",50,"BANCO ALFA DE INVESTIMENTO SA","2015",2567930.10833333,109,0.23
"844",144,"ENGIE BRASIL ENERGIA S.A.","2017",2566928.05070691,108,0.23
"893",152,"ELEKTRO REDES S.A.","2017",2565785.36666667,107,0.23
"2511",456,"IGUA SANEAMENTO S.A.","2015",2564242.978,106,0.23
"2940",550,"CENTRO DE IMAGEM DIAGNÓSTICOS S.A.","2017",2564096.77777778,105,0.23
"3332",632,"FORJAS TAURUS SA","2016",2563231.21666667,104,0.22
"528",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2013",2561507.65142857,103,0.22
"529",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2012",2561507.65142857,102,0.22
"848",144,"ENGIE BRASIL ENERGIA S.A.","2013",2560909.24761905,101,0.22
"3315",628,"VICUNHA TEXTIL SA","2012",2558333.33333333,100,0.21
"3618",675,"PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS","2013",2557553.44520933,99,0.21
"442",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2012",2554531.936796,98,0.21
"3414",646,"KEPLER WEBER SA","2016",2554477.07690476,97,0.21
"2186",395,"ALUPAR INVESTIMENTO S/A","2015",2553476.19047619,96,0.21
"3411",645,"JOAO FORTES ENGENHARIA SA","2011",2551903.114,95,0.2
"1388",255,"GRENDENE SA","2013",2551666.66666667,94,0.2
"1775",330,"JHSF PARTICIPAÇÕES SA","2016",2545300.12085714,93,0.2
"489",78,"CIA HERING","2014",2538308.56933333,92,0.2
"2562",464,"BRASIL PHARMA SA","2015",2534880.15928571,91,0.19
"1479",274,"UNIVERSO ONLINE SA","2010",2531847.41666667,90,0.19
"1546",288,"CSU CARDSYSTEM S/A","2016",2527517.33333333,89,0.19
"350",56,"RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES","2010",2522181.33333333,88,0.19
"2537",460,"T4F ENTRETENIMENTO SA","2012",2514838.0952381,87,0.19
"2360",429,"JSL S.A.","2016",2512696.50238095,86,0.18
"2061",0,"CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.","2012",2509628.95,85,0.18
"690",116,"ROSSI RESIDENCIAL SA","2011",2509561.8,84,0.18
"1386",255,"GRENDENE SA","2015",2508333.33333333,83,0.18
"171",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",2506542.2,82,0.18
"1555",290,"LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL","2016",2502840.23,81,0.17
"1227",220,"LIQ PARTICIPAÇÕES S.A.","2015",2501666.66666667,80,0.17
"1935",356,"MRV ENGENHARIA E PARTICIPAÇÕES S/A","2014",2500892.87301587,79,0.17
"1729",323,"SÃO MARTINHO SA","2014",2498039.63553571,78,0.17
"2376",432,"MARISA LOJAS SA","2012",2497304,77,0.16
"2215",405,"RENOVA ENERGIA S/A","2017",2496676.59687779,76,0.16
"3298",624,"ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL","2017",2496323.58674464,75,0.16
"3424",648,"LIGHT SERVIÇOS DE ELETRICIDADE SA","2016",2496193.16666667,74,0.16
"1528",285,"EQUATORIAL ENERGIA S/A","2010",2495976.19047619,73,0.16
"1182",207,"CCR S.A.","2010",2492080.80808081,72,0.15
"1400",257,"INTERCEMENT BRASIL SA","2010",2491497.47466667,71,0.15
"895",152,"ELEKTRO REDES S.A.","2015",2491216.22880952,70,0.15
"1125",200,"CPFL ENERGIA SA","2015",2490953.13771686,69,0.15
"3617",675,"PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS","2014",2489669.69771429,68,0.15
"2313",421,"FLEURY SA","2015",2489433.33333333,67,0.14
"439",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2015",2487452.03030303,66,0.14
"2009",366,"CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA","2017",2486972.005,65,0.14
"1363",251,"CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A","2017",2484675.5,64,0.14
"2413",437,"CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA","2011",2480393.61666667,63,0.13
"1730",323,"SÃO MARTINHO SA","2013",2476616.65857143,62,0.13
"3464",653,"MANGELS INDUSTRIAL S.A.","2016",2476500.75,61,0.13
"850",144,"ENGIE BRASIL ENERGIA S.A.","2011",2473447.43983193,60,0.13
"670",109,"GAFISA SA","2013",2473392.80952381,59,0.13
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",2473246.6,58,0.12
"2441",441,"BR INSURANCE CORRETORA DE SEGUROS S.A.","2011",2472477.16923077,57,0.12
"1692",316,"TECNISA S/A","2013",2472407.17633333,56,0.12
"1941",357,"MINERVA S/A","2016",2470173.41666667,55,0.12
"2442",441,"BR INSURANCE CORRETORA DE SEGUROS S.A.","2010",2468525.4,54,0.11
"2477",451,"AREZZO INDÚSTRIA E COMERCIO S/A","2015",2466662.25,53,0.11
"2088",378,"J.MACEDO S/A","2016",2462274.95238095,52,0.11
"2357",428,"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","2011",2461661.9047619,51,0.11
"2187",395,"ALUPAR INVESTIMENTO S/A","2014",2461250,50,0.11
"2408",437,"CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA","2016",2458903.4725,49,0.1
"310",48,"PBG S/A","2015",2454828.72222222,48,0.1
"361",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2015",2451638.98451178,47,0.1
"1338",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2012",2449785.48241882,46,0.1
"1777",330,"JHSF PARTICIPAÇÕES SA","2014",2447233.59904141,45,0.1
"1820",336,"BEMATECH  S/A","2010",2446091.28857143,44,0.09
"2151",389,"DIRECIONAL ENGENHARIA SA","2010",2445142.85714286,43,0.09
"2569",465,"TECHNOS SA","2016",2444256,42,0.09
"162",26,"BOMBRIL SA","2015",2440638.25,41,0.09
"1674",311,"LPS BRASIL CONSULTORIA DE IMOVEIS S/A","2014",2439330.75238095,40,0.08
"2534",460,"T4F ENTRETENIMENTO SA","2015",2438981.76,39,0.08
"669",109,"GAFISA SA","2014",2438366.83333333,38,0.08
"410",64,"WHIRLPOOL S.A","2012",2430759.42857143,37,0.08
"1850",341,"PARANA BANCO S.A.","2015",2430333.33333333,36,0.08
"1554",290,"LUPATECH S/A - EM RECUPERAÇÃO JUDICIAL","2017",2429561.77443609,35,0.07
"1776",330,"JHSF PARTICIPAÇÕES SA","2015",2425616.03095238,34,0.07
"2880",527,"OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.","2014",2424123.625,33,0.07
"3466",653,"MANGELS INDUSTRIAL S.A.","2012",2419594.51342812,32,0.07
"683",115,"BRF S.A.","2010",2418992.98808081,31,0.06
"1925",354,"REDECARD S/A","2011",2411768.51,30,0.06
"2",1,"BANCO DO BRASIL S.A.","2016",2411441.07324324,29,0.06
"1758",328,"BANCO PINE S/A","2017",2406600.28363636,28,0.06
"2404",436,"TEREOS INTERNACIONAL S/A","2012",2405000,27,0.06
"3412",645,"JOAO FORTES ENGENHARIA SA","2010",2401751.932,26,0.05
"2891",531,"INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.","2014",2398947.17303448,25,0.05
"3305",624,"ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL","2010",2386571.42857143,24,0.05
"1633",304,"BROOKFIELD INCORPORAÇÕES S.A.","2010",2385000,23,0.05
"2568",465,"TECHNOS SA","2017",2384571.4,22,0.05
"2976",566,"BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.","2016",2383549.12,21,0.04
"132",22,"IOCHPE-MAXION SA","2015",2380468.05263158,20,0.04
"1917",353,"BANCO INDUSVAL S.A.","2017",2375000,19,0.04
"1918",353,"BANCO INDUSVAL S.A.","2016",2375000,18,0.04
"3497",658,"MAHLE METAL LEVE S.A.","2014",2374895.25916667,17,0.03
"1953",358,"BANCO ABC BRASIL S/A","2012",2373868.22136364,16,0.03
"1851",341,"PARANA BANCO S.A.","2014",2366666.66666667,15,0.03
"1647",308,"PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS","2017",2362857.14285714,14,0.03
"2130",386,"ALIANSCE SHOPPING CENTERS S/A","2011",2361082.569,13,0.03
"2363",429,"JSL S.A.","2013",2359154.89333333,12,0.02
"438",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2016",2359149.00010025,11,0.02
"2485",452,"SONAE SIERRA BRASIL S/A","2015",2358694.70666667,10,0.02
"1439",267,"ARTERIS S.A.","2015",2357348.48484848,9,0.02
"2141",388,"OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL","2012",2356710.90333333,8,0.02
"2969",564,"CELULOSE IRANI SA","2013",2355656,7,0.01
"1771",329,"JBS SA","2012",2355196.727,6,0.01
"1752",326,"CPFL ENERGIAS RENOVÁVEIS S.A.","2015",2354880.14777778,5,0.01
"1893",347,"TEGMA GESTÃO LOGÍSTICA SA","2012",2352600,4,0.01
"2845",518,"SANTO ANTONIO ENERGIA S.A.","2014",2351302.99704545,3,0
"2220",405,"RENOVA ENERGIA S/A","2012",2350128.85828571,2,0
"199",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2011",2346144.55427117,1,0
"1622",303,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2015",2345011.37512121,465,1
"2150",389,"DIRECIONAL ENGENHARIA SA","2011",2341580.4,464,1
"2087",378,"J.MACEDO S/A","2017",2340665.35857143,463,1
"2359",429,"JSL S.A.","2017",2339786.41588418,462,0.99
"1620",303,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2017",2339276.22327273,461,0.99
"2332",425,"MULTIPLUS SA","2012",2338669.44571429,460,0.99
"3299",624,"ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL","2016",2338472.76688453,459,0.99
"327",50,"BANCO ALFA DE INVESTIMENTO SA","2014",2337999.32916667,458,0.98
"1891",347,"TEGMA GESTÃO LOGÍSTICA SA","2014",2336616.66666667,457,0.98
"256",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2015",2336400,456,0.98
"1919",353,"BANCO INDUSVAL S.A.","2015",2333333.33333333,455,0.98
"359",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2017",2326498.55813953,454,0.98
"2096",379,"AMIL PARTICIPAÇÕES S/A","2010",2325000,453,0.97
"1570",293,"ODONTOPREV S/A","2016",2322079.79166667,452,0.97
"1731",323,"SÃO MARTINHO SA","2012",2321349.99571429,451,0.97
"2095",379,"AMIL PARTICIPAÇÕES S/A","2011",2320699.6315,450,0.97
"2949",554,"AZUL S.A.","2016",2320455.1326892,449,0.97
"2028",368,"CYRELA COMMERCIAL PROPERTIES SA EMP  PART","2014",2320375.81714286,448,0.96
"1994",364,"GENERAL SHOPPING BRASIL SA","2016",2318750,447,0.96
"2185",395,"ALUPAR INVESTIMENTO S/A","2016",2317221.4275,446,0.96
"3175",605,"ELEKEIROZ S/A","2012",2315285.71428571,445,0.96
"1898",350,"MAGNESITA REFRATARIOS S.A.","2017",2315069.95333333,444,0.95
"3546",665,"MONTEIRO ARANHA SA","2014",2314090.90909091,443,0.95
"1762",328,"BANCO PINE S/A","2013",2312447.77973684,442,0.95
"2529",459,"INTERNATIONAL MEAL COMPANY HOLDINGS, SA","2012",2312092.03333333,441,0.95
"2974",565,"PETROBRAS DISTRIBUIDORA SA","2016",2311410.21935715,440,0.95
"258",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2013",2310714.28571429,439,0.94
"1964",360,"COMPANHIA PROVIDENCIA IND E COMERCIO","2014",2309333.33333333,438,0.94
"2842",518,"SANTO ANTONIO ENERGIA S.A.","2017",2309152.989,437,0.94
"1644",307,"M DIAS BRANCO SA IND E COM DE ALIMENTOS","2012",2308903.30228571,436,0.94
"2487",452,"SONAE SIERRA BRASIL S/A","2013",2308332.07186833,435,0.94
"1832",338,"BANCO SOFISA SA","2010",2308200.60533333,434,0.93
"1760",328,"BANCO PINE S/A","2015",2305959.75385027,433,0.93
"1",1,"BANCO DO BRASIL S.A.","2017",2304117.28231081,432,0.93
"688",116,"ROSSI RESIDENCIAL SA","2013",2300939.3825,431,0.93
"492",78,"CIA HERING","2011",2300761.1542381,430,0.92
"2536",460,"T4F ENTRETENIMENTO SA","2013",2300556.32466667,429,0.92
"1694",316,"TECNISA S/A","2011",2298734.36009636,428,0.92
"1538",287,"BRASILAGRO CIA BRAS DE PROP AGRICOLAS","2016",2298675.57111111,427,0.92
"3340",633,"FRAS-LE SA","2016",2296856.869,426,0.92
"1673",311,"LPS BRASIL CONSULTORIA DE IMOVEIS S/A","2015",2295613.91095238,425,0.91
"2933",546,"CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.","2017",2291751.31818182,424,0.91
"328",50,"BANCO ALFA DE INVESTIMENTO SA","2013",2291378.7545,423,0.91
"2103",380,"BRASIL BROKERS PARTICIPAÇÕES SA","2011",2291200,422,0.91
"3463",653,"MANGELS INDUSTRIAL S.A.","2017",2288756.3,421,0.91
"2975",566,"BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.","2017",2287406.1525,420,0.9
"2862",522,"RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.","2015",2283943.13495425,419,0.9
"3335",632,"FORJAS TAURUS SA","2013",2282667.62760181,418,0.9
"849",144,"ENGIE BRASIL ENERGIA S.A.","2012",2279281.97386555,417,0.9
"971",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2011",2275573.36103896,416,0.89
"255",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2016",2275250,415,0.89
"3302",624,"ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL","2013",2274249.59742351,414,0.89
"3559",668,"SUZANO HOLDING S.A.","2017",2271281.61,413,0.89
"2561",464,"BRASIL PHARMA SA","2016",2267576.32,412,0.89
"3032",584,"CIA FERRO LIGAS BAHIA FERBASA","2014",2266229.40722222,411,0.88
"1741",324,"EVEN CONSTRUTORA E INCORPORADORA S/A","2010",2265976.19047619,410,0.88
"404",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2010",2263889.75507936,409,0.88
"2535",460,"T4F ENTRETENIMENTO SA","2014",2263276.752,408,0.88
"3",1,"BANCO DO BRASIL S.A.","2015",2258985.12383784,407,0.88
"1389",255,"GRENDENE SA","2012",2248333.33333333,406,0.87
"3341",633,"FRAS-LE SA","2015",2246999.45533333,405,0.87
"2377",432,"MARISA LOJAS SA","2011",2244423,404,0.87
"1816",336,"BEMATECH  S/A","2014",2241876.90384615,403,0.87
"3425",648,"LIGHT SERVIÇOS DE ELETRICIDADE SA","2015",2239719.06864802,402,0.86
"1759",328,"BANCO PINE S/A","2016",2238107.44,401,0.86
"2597",470,"INBRANDS SA","2014",2234212.8,400,0.86
"2006",365,"ESTACIO PARTICIPAÇÕES SA","2012",2230447.85714286,399,0.86
"2965",564,"CELULOSE IRANI SA","2017",2227682.458,398,0.86
"3316",628,"VICUNHA TEXTIL SA","2011",2225833.33333333,397,0.85
"1717",321,"IGUATEMI EMPRESA DE SHOPPING CENTERS S/A","2013",2215431.20832424,396,0.85
"2007",365,"ESTACIO PARTICIPAÇÕES SA","2011",2214119.09285714,395,0.85
"2990",572,"BANCO INTER S.A.","2017",2208548.62298208,394,0.85
"3317",628,"VICUNHA TEXTIL SA","2010",2205572.99,393,0.84
"1547",288,"CSU CARDSYSTEM S/A","2015",2204759.33333333,392,0.84
"3426",648,"LIGHT SERVIÇOS DE ELETRICIDADE SA","2014",2203826.55749806,391,0.84
"1707",319,"PDG REALTY SA EMPREENDIMENTOS E PARTS - EM RECUPERAÇÃO JUDICIAL","2013",2200607.44597576,390,0.84
"2968",564,"CELULOSE IRANI SA","2014",2200287.27,389,0.84
"1902",350,"MAGNESITA REFRATARIOS S.A.","2013",2200196.9665,388,0.83
"3171",605,"ELEKEIROZ S/A","2016",2200000,387,0.83
"3172",605,"ELEKEIROZ S/A","2015",2197333.33333333,386,0.83
"1339",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2011",2193630.46969697,385,0.83
"172",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014",2192753.689,384,0.83
"3176",605,"ELEKEIROZ S/A","2011",2190629.62962963,383,0.82
"254",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2017",2184833.33333333,382,0.82
"1048",186,"RIO PARANAPANEMA ENERGIA SA","2016",2181961.9047619,381,0.82
"1396",256,"DIAGNOSTICOS DA AMERICA SA","2013",2181251.81502242,380,0.82
"1575",293,"ODONTOPREV S/A","2011",2179958.33333333,379,0.81
"1397",256,"DIAGNOSTICOS DA AMERICA SA","2012",2178818.41555556,378,0.81
"1699",317,"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2014",2176578.28571429,377,0.81
"2218",405,"RENOVA ENERGIA S/A","2014",2174543.058,376,0.81
"1936",356,"MRV ENGENHARIA E PARTICIPAÇÕES S/A","2013",2172594.05714286,375,0.81
"1571",293,"ODONTOPREV S/A","2015",2172551.27777778,374,0.8
"3145",601,"SOUZA CRUZ SA","2010",2170996.31944444,373,0.8
"2219",405,"RENOVA ENERGIA S/A","2013",2163714.092,372,0.8
"1995",364,"GENERAL SHOPPING BRASIL SA","2015",2163200,371,0.8
"1645",307,"M DIAS BRANCO SA IND E COM DE ALIMENTOS","2011",2158334.58971429,370,0.8
"2027",368,"CYRELA COMMERCIAL PROPERTIES SA EMP  PART","2015",2158333.33333333,369,0.79
"896",152,"ELEKTRO REDES S.A.","2014",2157767.35404762,368,0.79
"1491",277,"TEMPO PARTICIPAÇOES S/A","2014",2156215.61619048,367,0.79
"2486",452,"SONAE SIERRA BRASIL S/A","2014",2155348.66666667,366,0.79
"1515",283,"TOTVS S.A","2015",2154670.42253479,365,0.78
"886",151,"RUMO S.A.","2016",2153184.29984197,364,0.78
"1690",316,"TECNISA S/A","2015",2146209.83534494,363,0.78
"1900",350,"MAGNESITA REFRATARIOS S.A.","2015",2145662.35194444,362,0.78
"1623",303,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2014",2144861.63327273,361,0.78
"219",35,"FIBRIA CELULOSE S.A.","2016",2144124.68944444,360,0.77
"1928",355,"BHG S.A. - BRAZIL HOSPITALITY GROUP","2013",2136080.83333333,359,0.77
"972",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2010",2135364.11904762,358,0.77
"173",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013",2134993.567,357,0.77
"4",1,"BANCO DO BRASIL S.A.","2014",2130168.09872297,356,0.77
"1153",204,"BRADESPAR S/A","2015",2130000,355,0.76
"2089",378,"J.MACEDO S/A","2015",2129307.16666667,354,0.76
"2364",429,"JSL S.A.","2012",2127929.35391304,353,0.76
"993",172,"MRS LOGÍSTICA S/A","2013",2127087.91615721,352,0.76
"365",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2011",2126177.99877899,351,0.75
"3342",633,"FRAS-LE SA","2014",2121707.345,350,0.75
"259",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2012",2121428.57142857,349,0.75
"3596",672,"PARANAPANEMA SA","2012",2117442.42103571,348,0.75
"1732",323,"SÃO MARTINHO SA","2011",2115678.29285714,347,0.75
"2825",512,"OURO VERDE LOCAÇÃO E SERVIÇO S.A.","2016",2113781.21933333,346,0.74
"1539",287,"BRASILAGRO CIA BRAS DE PROP AGRICOLAS","2015",2113385.54238095,345,0.74
"2843",518,"SANTO ANTONIO ENERGIA S.A.","2016",2112509.28704545,344,0.74
"1659",309,"TERRA SANTA AGRO S.A.","2013",2109837.35691004,343,0.74
"1601",299,"CCX CARVÃO DA COLOMBIA S.A.","2013",2106500,342,0.73
"1057",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2015",2106394.33280961,341,0.73
"2149",389,"DIRECIONAL ENGENHARIA SA","2012",2103457.28214286,340,0.73
"412",64,"WHIRLPOOL S.A","2010",2098631.57142857,339,0.73
"198",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2012",2097481.71841453,338,0.73
"794",132,"PORTO SEGURO SA","2011",2096205,337,0.72
"1954",358,"BANCO ABC BRASIL S/A","2011",2094104.16666667,336,0.72
"1172",206,"INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR","2012",2093990.8,335,0.72
"1521",285,"EQUATORIAL ENERGIA S/A","2017",2089414.62571429,334,0.72
"1492",277,"TEMPO PARTICIPAÇOES S/A","2013",2083906.93066667,333,0.72
"2660",482,"COMPANHIA DE LOCAÇÃO DAS AMERICAS","2013",2080900.51497354,332,0.71
"1718",321,"IGUATEMI EMPRESA DE SHOPPING CENTERS S/A","2012",2080485.11414462,331,0.71
"1868",344,"EZ TEC EMPREEND. E PARTICIPAÇÕES S/A","2015",2078857.14271429,330,0.71
"992",172,"MRS LOGÍSTICA S/A","2014",2076554.75,329,0.71
"2826",512,"OURO VERDE LOCAÇÃO E SERVIÇO S.A.","2015",2075383.966,328,0.7
"3339",633,"FRAS-LE SA","2017",2074700.53083333,327,0.7
"1437",267,"ARTERIS S.A.","2017",2072222.22222222,326,0.7
"2827",512,"OURO VERDE LOCAÇÃO E SERVIÇO S.A.","2014",2069342.687,325,0.7
"1387",255,"GRENDENE SA","2014",2066666.66666667,324,0.7
"1869",344,"EZ TEC EMPREEND. E PARTICIPAÇÕES S/A","2014",2063361.52784584,323,0.69
"3174",605,"ELEKEIROZ S/A","2013",2062105.48048048,322,0.69
"2777",503,"BB SEGURIDADE PARTICIPAÇÕES S.A.","2016",2062032.92333333,321,0.69
"1608",300,"CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.","2014",2058694.33,320,0.69
"2680",486,"VIGOR ALIMENTOS S.A.","2013",2055987.51733117,319,0.69
"411",64,"WHIRLPOOL S.A","2011",2055270.5,318,0.68
"3351",634,"TUPY SA","2011",2054651.42857143,317,0.68
"1624",303,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.","2013",2048890.75906061,316,0.68
"1867",344,"EZ TEC EMPREEND. E PARTICIPAÇÕES S/A","2016",2048790.96035072,315,0.68
"1761",328,"BANCO PINE S/A","2014",2047789.27968254,314,0.67
"3311",625,"EUCATEX SA IND E COMERCIO","2012",2040903.13285714,313,0.67
"1607",300,"CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.","2015",2037679.675,312,0.67
"1870",344,"EZ TEC EMPREEND. E PARTICIPAÇÕES S/A","2013",2035833.33325,311,0.67
"2401",436,"TEREOS INTERNACIONAL S/A","2015",2034117.66666667,310,0.67
"122",20,"VULCABRAS|AZALEIA S.A.","2011",2033714.28571429,309,0.66
"1649",308,"PROFARMA DISTRIB. PRODUTOS FARMACEUTICOS","2015",2033298.46666667,308,0.66
"1154",204,"BRADESPAR S/A","2014",2032000,307,0.66
"2796",507,"SER EDUCACIONAL S.A.","2017",2024613.792,306,0.66
"691",116,"ROSSI RESIDENCIAL SA","2010",2022324.66666667,305,0.66
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011",2020261.03833333,304,0.65
"1693",316,"TECNISA S/A","2012",2017927.31266667,303,0.65
"197",31,"ITAUTEC S.A. - GRUPO ITAUTEC","2013",2017449.38011696,302,0.65
"3498",658,"MAHLE METAL LEVE S.A.","2013",2016799.17583333,301,0.65
"3301",624,"ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL","2014",2015163.7962963,300,0.64
"1233",223,"RODONORTE - CONC. ROD. INTEGRADAS S.A.","2017",2014512,299,0.64
"363",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2013",2014020.97402597,298,0.64
"3530",663,"METISA METALÚRGICA  TIMBOENSE SA","2014",2012533.33333333,297,0.64
"2107",381,"BANCO PAN SA","2015",2010949.33888951,296,0.64
"1701",317,"RNI NEGÓCIOS IMOBILIÁRIOS S.A.","2012",2010214.09108603,295,0.63
"2883",528,"CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.","2015",2007707.82044444,294,0.63
"2884",528,"CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.","2014",2007707.82044444,293,0.63
"851",144,"ENGIE BRASIL ENERGIA S.A.","2010",2007207.78526611,292,0.63
"3122",598,"FINANCEIRA ALFA S.A.- C.F.I","2012",2004001.83833333,291,0.62
"3597",672,"PARANAPANEMA SA","2011",2002087.03235294,290,0.62
"2358",428,"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A","2010",2001885.71428571,289,0.62
